"rater","selected","weight"
"S27","S1","1"
"S40","S1","1"
"S49","S1","1"
"S41","S1","1"
"S13","S1","1"
"S47","S1","2"
"S38","S1","1"
"S12","S1","3"
"S37","S1","1"
"S27","S2","1"
"S40","S2","1"
"S49","S2","1"
"S41","S2","1"
"S13","S2","1"
"S38","S2","1"
"S20","S2","3"
"S37","S2","1"
"S15","S2","2"
"S27","S3","1"
"S40","S3","1"
"S49","S3","1"
"S41","S3","1"
"S13","S3","1"
"S38","S3","1"
"S37","S3","2"
"S24","S3","1"
"S27","S4","1"
"S40","S4","1"
"S49","S4","1"
"S41","S4","1"
"S13","S4","1"
"S38","S4","1"
"S37","S4","3"
"S27","S5","1"
"S40","S5","1"
"S49","S5","1"
"S41","S5","1"
"S13","S5","1"
"S38","S5","1"
"S17","S5","1"
"S32","S5","1"
"S37","S5","1"
"S27","S6","1"
"S40","S6","2"
"S49","S6","1"
"S41","S6","1"
"S13","S6","1"
"S18","S6","1"
"S38","S6","1"
"S32","S6","1"
"S37","S6","1"
"S27","S7","1"
"S40","S7","1"
"S49","S7","1"
"S41","S7","1"
"S13","S7","1"
"S38","S7","1"
"S20","S7","5"
"S37","S7","1"
"S24","S7","3"
"S27","S8","1"
"S40","S8","1"
"S49","S8","1"
"S41","S8","1"
"S13","S8","1"
"S38","S8","1"
"S37","S8","1"
"S27","S9","1"
"S40","S9","1"
"S49","S9","1"
"S41","S9","1"
"S13","S9","1"
"S38","S9","1"
"S37","S9","1"
"S27","S10","1"
"S40","S10","1"
"S49","S10","1"
"S41","S10","1"
"S13","S10","1"
"S38","S10","1"
"S37","S10","1"
"S27","S11","1"
"S40","S11","1"
"S49","S11","1"
"S41","S11","1"
"S13","S11","1"
"S47","S11","1"
"S38","S11","1"
"S37","S11","1"
"S27","S12","1"
"S40","S12","1"
"S49","S12","1"
"S41","S12","1"
"S13","S12","1"
"S38","S12","1"
"S1","S12","4"
"S37","S12","1"
"S27","S13","1"
"S40","S13","1"
"S49","S13","1"
"S41","S13","5"
"S38","S13","1"
"S37","S13","1"
"S27","S14","1"
"S40","S14","1"
"S49","S14","1"
"S41","S14","1"
"S13","S14","1"
"S38","S14","1"
"S37","S14","1"
"S27","S15","1"
"S40","S15","1"
"S49","S15","1"
"S41","S15","1"
"S13","S15","1"
"S38","S15","1"
"S37","S15","2"
"S27","S16","1"
"S40","S16","1"
"S49","S16","1"
"S41","S16","1"
"S13","S16","1"
