"rater","selected","weight"
"S38","S16","1"
"S31","S16","1"
"S37","S16","2"
"S24","S16","1"
"S27","S17","1"
"S40","S17","1"
"S49","S17","1"
"S41","S17","1"
"S13","S17","1"
"S48","S17","3"
"S38","S17","1"
"S37","S17","1"
"S27","S18","1"
"S40","S18","2"
"S49","S18","4"
"S41","S18","1"
"S13","S18","1"
"S38","S18","1"
"S32","S18","3"
"S37","S18","1"
"S27","S19","1"
"S40","S19","1"
"S49","S19","1"
"S41","S19","1"
"S13","S19","1"
"S38","S19","1"
"S37","S19","1"
"S27","S20","1"
"S40","S20","1"
"S49","S20","1"
"S41","S20","1"
"S13","S20","1"
"S38","S20","1"
"S31","S20","1"
"S37","S20","1"
"S27","S21","1"
"S40","S21","1"
"S49","S21","1"
"S41","S21","1"
"S13","S21","1"
"S38","S21","1"
"S23","S21","1"
"S37","S21","1"
"S27","S22","1"
"S40","S22","1"
"S49","S22","1"
"S41","S22","1"
"S13","S22","1"
"S38","S22","1"
"S30","S22","1"
"S10","S22","1"
"S37","S22","1"
"S27","S23","1"
"S40","S23","1"
"S49","S23","1"
"S41","S23","1"
"S13","S23","1"
"S38","S23","1"
"S30","S23","3"
"S37","S23","1"
"S27","S24","1"
"S40","S24","1"
"S49","S24","1"
"S41","S24","1"
"S13","S24","1"
"S16","S24","1"
"S38","S24","1"
"S27","S25","1"
"S40","S25","1"
"S49","S25","1"
"S41","S25","1"
"S13","S25","1"
"S38","S25","1"
"S44","S25","3"
"S37","S25","1"
"S27","S26","1"
"S40","S26","1"
"S49","S26","1"
"S41","S26","1"
"S13","S26","1"
"S38","S26","1"
"S44","S26","1"
"S37","S26","1"
"S40","S27","1"
"S49","S27","1"
"S41","S27","1"
"S13","S27","1"
"S38","S27","2"
"S30","S27","1"
"S37","S27","1"
"S27","S28","1"
"S40","S28","1"
"S49","S28","1"
"S41","S28","1"
"S13","S28","1"
"S38","S28","1"
"S37","S28","1"
"S27","S29","1"
"S40","S29","1"
"S49","S29","1"
"S41","S29","1"
"S13","S29","1"
"S38","S29","1"
"S31","S29","1"
"S37","S29","1"
"S27","S30","2"
"S40","S30","1"
"S49","S30","1"
"S41","S30","1"
"S13","S30","1"
"S38","S30","1"
"S44","S30","1"
"S23","S30","2"
"S37","S30","1"
"S27","S31","1"
"S40","S31","1"
"S49","S31","1"
"S41","S31","1"
"S13","S31","1"
"S16","S31","2"
"S38","S31","1"
"S20","S31","2"
"S44","S31","1"
"S32","S31","2"
"S37","S31","1"
"S27","S32","1"
"S40","S32","1"
"S49","S32","1"
"S41","S32","1"
"S13","S32","1"
"S18","S32","1"
"S38","S32","1"
"S37","S32","1"
"S27","S33","1"
"S40","S33","1"
"S49","S33","1"
"S41","S33","1"
"S13","S33","1"
"S48","S33","3"
"S38","S33","2"
"S17","S33","2"
"S10","S33","1"
"S37","S33","1"
"S24","S33","1"
"S27","S34","1"
"S40","S34","1"
"S49","S34","1"
"S41","S34","1"
"S13","S34","1"
"S16","S34","3"
"S38","S34","2"
"S27","S35","1"
"S40","S35","1"
"S49","S35","1"
"S41","S35","1"
"S13","S35","1"
"S38","S35","1"
"S37","S35","1"
"S27","S36","1"
"S40","S36","1"
"S49","S36","1"
"S41","S36","1"
"S13","S36","1"
"S16","S36","5"
"S38","S36","1"
"S37","S36","1"
"S24","S36","3"
"S27","S37","1"
"S40","S37","1"
"S49","S37","1"
"S41","S37","1"
"S13","S37","1"
"S38","S37","1"
"S27","S38","3"
"S40","S38","1"
"S49","S38","1"
"S41","S38","1"
"S13","S38","1"
"S37","S38","1"
"S27","S39","1"
"S40","S39","1"
"S49","S39","1"
"S41","S39","1"
"S13","S39","1"
"S38","S39","1"
"S37","S39","1"
"S27","S40","1"
"S49","S40","1"
"S41","S40","1"
"S13","S40","1"
"S18","S40","1"
"S38","S40","1"
"S37","S40","1"
"S27","S41","1"
"S40","S41","1"
"S49","S41","1"
"S13","S41","4"
"S38","S41","1"
"S37","S41","1"
"S27","S42","1"
"S40","S42","1"
"S49","S42","1"
"S41","S42","1"
"S13","S42","1"
"S38","S42","1"
"S37","S42","1"
"S27","S43","1"
"S40","S43","1"
"S49","S43","1"
"S41","S43","1"
"S13","S43","1"
"S38","S43","1"
"S37","S43","1"
"S27","S44","1"
"S40","S44","1"
"S49","S44","1"
"S41","S44","1"
"S13","S44","1"
"S38","S44","1"
"S37","S44","1"
"S27","S45","1"
"S40","S45","1"
"S49","S45","1"
"S41","S45","1"
"S13","S45","1"
"S38","S45","3"
"S1","S45","4"
"S31","S45","3"
"S11","S45","1"
"S37","S45","1"
"S27","S46","1"
"S40","S46","1"
"S49","S46","1"
"S41","S46","1"
"S13","S46","1"
"S38","S46","1"
"S44","S46","1"
"S10","S46","5"
"S37","S46","1"
"S27","S47","1"
"S40","S47","1"
"S49","S47","1"
"S41","S47","1"
"S13","S47","1"
"S38","S47","1"
"S1","S47","3"
"S37","S47","1"
"S27","S48","1"
"S40","S48","1"
"S49","S48","1"
"S41","S48","1"
"S13","S48","1"
"S38","S48","1"
"S17","S48","3"
"S37","S48","1"
"S27","S49","1"
"S40","S49","1"
"S41","S49","1"
"S13","S49","1"
"S5","S49","3"
"S47","S49","1"
"S18","S49","2"
"S38","S49","1"
"S37","S49","1"
"S27","S50","1"
"S40","S50","1"
"S49","S50","1"
"S41","S50","1"
"S13","S50","1"
"S38","S50","1"
"S37","S50","1"
"S24","S50","5"
"S27","S51","1"
"S40","S51","1"
"S49","S51","1"
"S41","S51","1"
"S13","S51","1"
"S8","S51","5"
"S38","S51","1"
"S37","S51","1"
"S27","S52","1"
"S40","S52","1"
"S49","S52","1"
"S41","S52","1"
"S13","S52","1"
"S38","S52","1"
"S37","S52","1"
