"dataset","nodes","edges","density","reciprocity","clustering","indeg_cent","outdeg_cent"
"AY25Sem2",52,409,0.154223227752639,0.166259168704156,0.360380257345881,0.0614630467571644,0.84577677224736
"AY24Sem1",37,236,0.177177177177177,0.288135593220339,0.384935064935065,0.100600600600601,0.822822822822823
